Config,Model,X_train_shape,X_test_shape,y_train_shape,y_test_shape
7n_1n,XGB,"[7440, 42]","[1855, 42]",[7440],[1855]
7n_1n,LSTM,"[7440, 7, 6]","[1855, 7, 6]",[7440],[1855]
30n_1n,XGB,"[7417, 180]","[1832, 180]",[7417],[1832]
30n_1n,LSTM,"[7417, 30, 6]","[1832, 30, 6]",[7417],[1832]
30n_7n,XGB,"[7411, 180]","[1826, 180]",[7411],[1826]
30n_7n,LSTM,"[7411, 30, 6]","[1826, 30, 6]",[7411],[1826]
30n_30n,XGB,"[7388, 180]","[1803, 180]",[7388],[1803]
30n_30n,LSTM,"[7388, 30, 6]","[1803, 30, 6]",[7388],[1803]
90n_7n,XGB,"[7351, 540]","[1766, 540]",[7351],[1766]
90n_7n,LSTM,"[7351, 90, 6]","[1766, 90, 6]",[7351],[1766]
90n_30n,XGB,"[7328, 540]","[1743, 540]",[7328],[1743]
90n_30n,LSTM,"[7328, 90, 6]","[1743, 90, 6]",[7328],[1743]
