feature,importance
lag_29d_Can Tho_Water Level,0.51890135
lag_28d_Dai Ngai_Water Level,0.14594859
lag_30d_Chau Doc_Water Level,0.04211518
lag_4d_Can Tho_Rainfall,0.019226937
lag_4d_Dai Ngai_Water Level,0.014136362
lag_5d_Can Tho_Rainfall,0.013335545
lag_28d_Can Tho_Water Level,0.011526442
lag_22d_Chau Doc_Water Level,0.011122725
lag_1d_Dai Ngai_Water Level,0.008938476
lag_13d_Can Tho_Water Level,0.0073938984
lag_21d_Can Tho_Water Level,0.0071324115
lag_27d_Can Tho_Water Level,0.006421909
lag_9d_Dai Ngai_Water Level,0.00525229
lag_18d_Can Tho_Rainfall,0.0047317767
lag_14d_Chau Doc_Rainfall,0.004408395
lag_12d_Can Tho_Water Level,0.004021396
lag_12d_Dai Ngai_Water Level,0.0039554024
lag_13d_Dai Ngai_Water Level,0.003813504
lag_7d_Can Tho_Water Level,0.0037908899
lag_11d_Dai Ngai_Water Level,0.0033756052
lag_2d_Can Tho_Water Level,0.0033501356
lag_28d_Can Tho_Rainfall,0.0032562416
lag_17d_Dai Ngai_Water Level,0.0031636725
lag_8d_Can Tho_Water Level,0.0030079253
lag_7d_Dai Ngai_Water Level,0.0029772236
lag_20d_Can Tho_Water Level,0.0029431966
lag_27d_Can Tho_Rainfall,0.002907665
lag_29d_Chau Doc_Water Level,0.0028987296
lag_9d_Chau Doc_Water Level,0.0028722598
lag_10d_Dai Ngai_Water Level,0.0027478696
lag_4d_Can Tho_Water Level,0.0027341251
lag_11d_Can Tho_Rainfall,0.0025721823
lag_5d_Chau Doc_Water Level,0.0025574667
lag_30d_Can Tho_Water Level,0.002489995
lag_22d_Can Tho_Rainfall,0.0024417224
lag_3d_Dai Ngai_Water Level,0.0024229663
lag_24d_Chau Doc_Water Level,0.0024222988
lag_26d_Can Tho_Rainfall,0.0024142163
lag_26d_Can Tho_Water Level,0.002292815
lag_8d_Chau Doc_Water Level,0.0022043607
lag_27d_Chau Doc_Water Level,0.0021856718
