config_name,model_type,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2,trained_at,best_cv_score,feature_count,best_params,cv_combinations,best_val_loss,total_params,training_epochs,grid_combinations
30n_1n,XGBoost,0.04200965585870684,0.00420201906242725,0.06482298251721569,0.9879163858747616,0.12451340831530505,0.04520117188318831,0.21260567227425592,0.8656148451451403,2025-10-03T23:17:05.501740,-0.02691115870290603,180.0,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500, 'subsample': 0.5}",81.0,,,,
30n_1n,LSTM,0.09054417455951909,0.029366549882546604,0.17136671171072462,0.9155515356550332,0.36156551109986446,0.34821589836096717,0.5900982107759413,-0.03526181898764347,2025-10-03T23:50:51.176485,,,"{'batch_size': 32, 'dropout': 0.2, 'n_layers': 1, 'units': 64}",,0.12803810834884644,18241.0,56.0,8.0
30n_30n,XGBoost,0.05911745234425936,0.005782182416238754,0.07604066291293596,0.9833713745625953,0.2712611033970827,0.13632758864664557,0.36922566087237974,0.5938733429409442,2025-10-04T00:34:23.471339,-0.086659864760535,180.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.5}",81.0,,,,
90n_30n,XGBoost,0.1260901688681643,0.028056266264205317,0.1675000485498596,0.9192894773625229,0.2334130582169202,0.09445708239984507,0.3073387095694993,0.7105662388230767,2025-10-04T03:06:26.058738,-0.0743479174802375,540.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.8}",81.0,,,,
90n_7n,XGBoost,0.07853352378525592,0.01328445001998801,0.11525818851599226,0.961812158500775,0.15252914241285415,0.052501183487513536,0.22913136731472086,0.839984757884968,2025-10-04T01:24:04.241101,-0.03216586576261261,540.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",81.0,,,,
30n_7n,XGBoost,0.026973485941403103,0.0012529439268353483,0.03539694798757865,0.9963953844664702,0.14662142476486154,0.06424647306183578,0.2534688798685862,0.8090107926098805,2025-10-03T23:55:19.225281,-0.027917201900933913,180.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'subsample': 1.0}",81.0,,,,
90n_30n,LSTM,0.15118264752777516,0.056174788416332604,0.2370122115342005,0.8383998608568837,0.34896856345147026,0.2679958918130404,0.5176831963788668,0.17881161500347875,2025-10-04T04:50:34.947572,,,"{'batch_size': 32, 'dropout': 0.2, 'n_layers': 2, 'units': 64}",,0.1547965109348297,51265.0,34.0,8.0
30n_30n,LSTM,0.1826056136844988,0.07301654269230737,0.27021573361354695,0.7900161821676919,0.3866613948868965,0.3070601261084178,0.5541300624478136,0.08525263469763356,2025-10-04T01:10:55.687768,,,"{'batch_size': 32, 'dropout': 0.5, 'n_layers': 1, 'units': 64}",,0.1819547414779663,18241.0,50.0,8.0
7n_1n,XGBoost,0.05977769701732884,0.007176938932134824,0.08471681611188432,0.9793413122411285,0.1806691575020661,0.0807256277455674,0.284122557614786,0.759841891887616,2025-10-03T23:05:06.347857,-0.03742718423351964,42.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",81.0,,,,
30n_7n,LSTM,0.0974835595824051,0.03316957032573483,0.18212515017354092,0.904573903208389,0.32168021468030855,0.2611458570452152,0.5110243213832539,0.22367660241404186,2025-10-04T00:29:45.705859,,,"{'batch_size': 32, 'dropout': 0.2, 'n_layers': 2, 'units': 64}",,0.08274716883897781,51265.0,57.0,8.0
7n_1n,LSTM,0.11552993127530184,0.04443136478715445,0.21078748726419802,0.8721051271972708,0.34298523217979177,0.2970856294024959,0.5450556204668436,0.11617258735286895,2025-10-03T23:12:30.353156,,,"{'batch_size': 32, 'dropout': 0.2, 'n_layers': 2, 'units': 32}",,0.13942842185497284,13345.0,31.0,8.0
90n_7n,LSTM,0.0971532867387653,0.029211647171691044,0.1709141514670188,0.916027404187198,0.21321543394683318,0.12323881142274773,0.3510538582934928,0.6243877387550735,2025-10-04T02:52:43.336843,,,"{'batch_size': 32, 'dropout': 0.2, 'n_layers': 1, 'units': 64}",,0.08262134343385696,18241.0,100.0,8.0
